Source 1 X=0.000000
1820.000000 0.000000 1.620600
1740.000000 0.000000 1.565628
1680.000000 0.000000 1.524317
1640.000000 0.000000 1.493708
1600.000000 0.000000 1.458511
1560.000000 0.000000 1.430152
1540.000000 0.000000 1.408054
1500.000000 0.000000 1.381368
1480.000000 0.000000 1.362198
1460.000000 0.000000 1.348507
1440.000000 0.000000 1.330486
1440.000000 0.000000 1.326375
1420.000000 0.000000 1.311594
1420.000000 0.000000 1.309946
1420.000000 0.000000 1.307514
1420.000000 0.000000 1.307250
1440.000000 0.000000 1.317850
1460.000000 0.000000 1.328762
1460.000000 0.000000 1.331386
1500.000000 0.000000 1.354572
1540.000000 0.000000 1.381302
1580.000000 0.000000 1.409327
1620.000000 0.000000 1.438730
1740.000000 0.000000 1.509938
1860.000000 0.000000 1.589018
Source 4 X=120.000000
Reflector 1
X   Z   T
0.000000 740.000000 0.444836
20.000000 740.000000 0.442847
40.000000 740.000000 0.440697
80.000000 740.000000 0.438193
100.000000 740.000000 0.434856
120.000000 740.000000 0.434251
140.000000 740.000000 0.434592
160.000000 740.000000 0.435634
200.000000 740.000000 0.440697
1800.000000 0.000000 1.588614
1700.000000 0.000000 1.521603
1640.000000 0.000000 1.477800
1600.000000 0.000000 1.445693
1580.000000 0.000000 1.416840
1540.000000 0.000000 1.386729
1520.000000 0.000000 1.368574
1500.000000 0.000000 1.345312
1460.000000 0.000000 1.317346
1440.000000 0.000000 1.302699
1420.000000 0.000000 1.282760
1400.000000 0.000000 1.268826
1400.000000 0.000000 1.266038
1380.000000 0.000000 1.247943
1380.000000 0.000000 1.246078
1360.000000 0.000000 1.233605
1360.000000 0.000000 1.232375
1380.000000 0.000000 1.240709
1380.000000 0.000000 1.246147
1400.000000 0.000000 1.253143
1420.000000 0.000000 1.264407
1440.000000 0.000000 1.283167
1460.000000 0.000000 1.300627
1520.000000 0.000000 1.330102
1540.000000 0.000000 1.348662
1620.000000 0.000000 1.398892
1700.000000 0.000000 1.455351
Reflector 2
X   Z   T
20.000000 780.000000 0.463065
40.000000 780.000000 0.461386
80.000000 780.000000 0.459594
100.000000 780.000000 0.458870
120.000000 780.000000 0.458250
140.000000 780.000000 0.458088
160.000000 780.000000 0.459594
200.000000 780.000000 0.461530
2080.000000 0.000000 1.775820
1920.000000 0.000000 1.672997
1860.000000 0.000000 1.620600
1780.000000 0.000000 1.565628
1720.000000 0.000000 1.524317
1680.000000 0.000000 1.493708
1640.000000 0.000000 1.458511
1600.000000 0.000000 1.430152
1580.000000 0.000000 1.408054
1540.000000 0.000000 1.381368
1520.000000 0.000000 1.362198
1500.000000 0.000000 1.348507
1480.000000 0.000000 1.330486
1480.000000 0.000000 1.326899
1460.000000 0.000000 1.312735
1460.000000 0.000000 1.309946
1460.000000 0.000000 1.307514
1460.000000 0.000000 1.307250
1480.000000 0.000000 1.317851
1500.000000 0.000000 1.328762
1500.000000 0.000000 1.331386
1540.000000 0.000000 1.354571
1580.000000 0.000000 1.381302
1620.000000 0.000000 1.409327
1660.000000 0.000000 1.438730
1780.000000 0.000000 1.509938
1900.000000 0.000000 1.589018
Source 5 X=160.000000
Reflector 1
X   Z   T
20.000000 740.000000 0.447500
